id,category,sub_category,question_text,answer_type,answer_options,explanation
38,Technical,Design,If the scheme is located in a drought-prone area then has the scheme been designed for resilience against droughts?,MULTIPLE_CHOICE_SINGLE,Yes|No|No drought risk,
39,Technical,Design,If the scheme is vulnerable to GLOFs then has the scheme been designed for protection against GLOFs?,MULTIPLE_CHOICE_SINGLE,Yes|No| No GLOF risk,
40,Institutional,Capacity,Officials in charge of the scheme who have completed a course in WASH in Emergencies? (Leave empty if no one has completed the course),MULTIPLE_CHOICE_MULTI,XEN|SDO|Sub-Engineer,
41,Institutional,Capacity,Who operates the scheme?,MULTIPLE_CHOICE_SINGLE,Government department (PHED/TMA/WSSC etc.)|Community,
42,Institutional,Capacity,How soon are most complaints resolved?,MULTIPLE_CHOICE_SINGLE,Within 24 hrs|Within 48 hrs|More than 48 hrs,
43,Institutional,Preparedness,Does a climate resilient water safety plan exist for the scheme that is regularly updated?,YES_NO,,
44,Institutional,Preparedness,"Does the department itself, OR in coordination with the District Administration, carry out periodic (every 5 years or less) disaster preparedness drills/ simulations/ exercises?",YES_NO,,
45,Institutional,Preparedness,Does the department have access to updated and location specific (at least district level) climate change projections?,YES_NO,,
46,Institutional,Response,Has an Emergency Response Plan (ERP) been prepared at the Division (XEN) level OR does the District Level ERP contains water supply component?,YES_NO,,
47,Institutional,Response,"Does any mechanism exist to coordinate with the district administration, health & education departments?",YES_NO,,
48,Environmental,Source Location,"Is the broader area within which the scheme is located, vulnerable to floods?",YES_NO,,
49,Environmental,Source Location,"Is the broader area within which the scheme is located, vulnerable to droughts?",YES_NO,,
50,Environmental,Source Location,"Is the broader area within which the scheme is located, vulnerable to GLOFs?",YES_NO,,
51,Environmental,Source Location,Are other safe water sources are available in the area which can supply the basic needs of the consumers in case of emergencies or long breakdowns?,YES_NO,,
52,Environmental,Watershed,"Does the watershed include activities / land uses that can introduce serious contaminants into the water source? [Examples include urban areas within the watershed, industrial activities, mining activities, agricultural lands using chemical fertilizers & pesticides]",YES_NO,,
53,Environmental,Watershed,"Are there any interventions for recharge of groundwater such as MAR, check dams, infiltration galleries OR water conservation measures such as metering, rainwater harvesting, reuse of wastewater?",YES_NO,,
54,Environmental,Watershed,Does that watershed contain ecosystem/ nature based interventions for floods mitigation?,YES_NO,,
55,Socio-Economic,Awareness,"Is the community involved in decision making e.g. in planning, operations of the WSS?",YES_NO,,
56,Socio-Economic,Awareness,Is the community involved/consulted/informed about emergency response plans? ,YES_NO,,
57,Socio-Economic,Awareness,Is access available to the internet through either mobile data or cable/wired services?,YES_NO,,
58,Socio-Economic,Awareness,Are there any reasons to believe that the literacy is BETTER or WORSE than the rest of the district? Please provide any such reasons:,TEXT,,
59,Socio-Economic,Access,What would be the average time (return journey) for the majority of the community to fetch water if the scheme becomes non-functional due to any reason? [Time in minutes],INTEGER,,
60,Socio-Economic,Access,Please provide any reasons that suggest that this area is either SAFER or LESS SAFE for women & children than the rest of the district:,TEXT,,
61,Socio-Economic,Access,"Compared to the overall situation in the district, does this area have BETTER or WORSE access to emergency services ( medical and relief)? Please provide reasons for either of the case:",TEXT,,
62,Socio-Economic,Vulnerable Population,"Does the coverage area of the scheme include any disadvantaged or vulnerable groups due to ethnic, religious, poverty reasons? Please provide comments:",TEXT,,
63,Socio-Economic,Vulnerable Population,Are there any reasons to believe that the community includes people with disabilities that is at a higher percentage than the rest of the district? Please write any such reasons:,TEXT,,
64,Socio-Economic,Economy,Are there any reasons to believe that the economic conditions in the area are either BETTER or WORSE than the rest of the district? Please provide any such reasons:,TEXT,,
